"","row","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"42","ENSMUSG00000056071",2089.22993888122,3.03723349591474,0.434517174669141,6.98990436506316,2.75073685500034e-12,5.06080566582963e-09
"43","ENSMUSG00000086564",67.4572452480573,1.27288767226291,0.299771390309903,4.246194645016,2.17431760137078e-05,0.00219797226538569
"44","ENSMUSG00000104554",46.9944089935604,1.03995004519019,0.348549660080781,2.98364957506821,0.00284832779201506,0.0651684576397378
"45","ENSMUSG00000074206",34.205376710428,-1.56950548914002,0.51008934300313,-3.07692272083087,0.00209149515892886,0.0539682018709301
"46","ENSMUSG00000080772",8.66413270133667,-1.8653387172213,0.643711461542387,-2.89778701897244,0.00375805698153812,0.0787479867270369
"47","ENSMUSG00000028362",36.2262458864079,1.02370346280516,0.304793793733069,3.35867555000709,0.000783169594808123,0.0295867642818888
"48","ENSMUSG00000043383",55.5478140226013,1.14757635801466,0.302352578417396,3.79549056277745,0.00014735180053439,0.0092197169055122
"49","ENSMUSG00000028859",944.308280614748,2.30459396040121,0.304117838860904,7.57796375586923,3.51020421483249e-14,1.29161474288976e-10
"50","ENSMUSG00000050493",55.0906529149575,-1.0292337297644,0.251567816961652,-4.0912774225063,4.29003563437284e-05,0.00383145998064036
"51","ENSMUSG00000070720",381.77421350819,1.06950933167813,0.288814942456561,3.70309556209679,0.000212984607071713,0.0120018603057594
"52","ENSMUSG00000050511",12.2266678880387,1.59820259396311,0.548193544448998,2.91539842113518,0.00355234725054284,0.0756436165688509
"53","ENSMUSG00000028874",405.034651417635,1.4881813152383,0.242498843760131,6.13685942647357,8.41688016773038e-10,8.62336281100624e-07
"54","ENSMUSG00000086806",20.6715140342644,-2.33526498868661,0.751036396103575,-3.1093899054721,0.00187474137622639,0.0510347660366225
"55","ENSMUSG00000028957",2745.15310539998,1.1344509322404,0.239643639052254,4.73390796737581,2.20237620118905e-06,0.000401181359895803
"56","ENSMUSG00000037379",359.26967062227,-1.81198123942263,0.299322756348732,-6.0536033461871,1.41641129786624e-09,1.18450613900651e-06
"57","ENSMUSG00000107134",200.324714986109,1.03088757532976,0.194298715385137,5.30568394796819,1.12251304323602e-07,3.92572192952807e-05
"58","ENSMUSG00000104547",36.2577645027258,-1.30058827948672,0.428418732675447,-3.03578760752274,0.00239908295152266,0.0586166376389296
"59","ENSMUSG00000104912",20.2892242130786,-1.44335763189064,0.452255654095727,-3.19146398462745,0.00141553757658679,0.0435502681171299
"60","ENSMUSG00000105136",78.7635810775092,-1.36860711609347,0.45777301971917,-2.98970681350566,0.00279245336997276,0.0642551525708944
"61","ENSMUSG00000104990",10.5604491505779,-1.69656288404073,0.563833105034504,-3.00898061659027,0.00262125838898306,0.0614342825993763
"62","ENSMUSG00000044827",160.375032816823,1.00828966502672,0.192912472579132,5.22666912899127,1.72590946776201e-07,5.38164554492956e-05
"63","ENSMUSG00000051498",164.098244744804,1.02737061792421,0.170715698980921,6.01802074476483,1.76562571259369e-09,1.39768251610295e-06
"64","ENSMUSG00000106957",3797.9178983925,-1.00410664648531,0.194197508636832,-5.17054339951955,2.33414255263251e-07,6.50659919444437e-05
"65","ENSMUSG00000029378",88.9014344561809,-1.09578693327767,0.344058741850117,-3.18488327715571,0.00144812404654695,0.0441833933803826
